2026-02-02 02:06:38,987 [INFO] Logger initialized
2026-02-02 02:06:39,909 [INFO] [SCRAPE] BTCUSDT price = 77,367.20 USDT
2026-02-02 02:06:45,305 [INFO] [SCRAPE] BTCUSDT price = 77,364.01 USDT
2026-02-02 02:06:50,897 [INFO] [SCRAPE] BTCUSDT price = 77,395.94 USDT
2026-02-02 02:06:56,400 [INFO] [SCRAPE] BTCUSDT price = 77,439.50 USDT
2026-02-02 02:07:01,797 [INFO] [SCRAPE] BTCUSDT price = 77,433.99 USDT
2026-02-02 02:07:07,198 [INFO] [SCRAPE] BTCUSDT price = 77,400.19 USDT
2026-02-02 02:07:12,620 [INFO] [SCRAPE] BTCUSDT price = 77,405.61 USDT
2026-02-02 02:07:18,030 [INFO] [SCRAPE] BTCUSDT price = 77,390.99 USDT
2026-02-02 02:07:23,420 [INFO] [SCRAPE] BTCUSDT price = 77,370.00 USDT
2026-02-02 02:07:28,822 [INFO] [SCRAPE] BTCUSDT price = 77,351.94 USDT
2026-02-02 02:07:34,224 [INFO] [SCRAPE] BTCUSDT price = 77,326.83 USDT
2026-02-02 02:07:39,682 [INFO] [SCRAPE] BTCUSDT price = 77,308.14 USDT
2026-02-02 02:07:45,082 [INFO] [SCRAPE] BTCUSDT price = 77,259.30 USDT
2026-02-02 02:07:50,482 [INFO] [SCRAPE] BTCUSDT price = 77,261.91 USDT
2026-02-02 02:07:55,904 [INFO] [SCRAPE] BTCUSDT price = 77,252.95 USDT
2026-02-02 02:08:01,293 [INFO] [SCRAPE] BTCUSDT price = 77,256.45 USDT
2026-02-02 02:08:06,712 [INFO] [SCRAPE] BTCUSDT price = 77,291.27 USDT
2026-02-02 02:08:12,112 [INFO] [SCRAPE] BTCUSDT price = 77,296.83 USDT
2026-02-02 02:08:17,602 [INFO] [SCRAPE] BTCUSDT price = 77,328.24 USDT
2026-02-02 02:08:23,001 [INFO] [SCRAPE] BTCUSDT price = 77,353.41 USDT
2026-02-02 02:08:28,393 [INFO] [SCRAPE] BTCUSDT price = 77,350.29 USDT
2026-02-02 02:08:33,792 [INFO] [SCRAPE] BTCUSDT price = 77,304.34 USDT
2026-02-02 02:08:39,549 [INFO] [SCRAPE] BTCUSDT price = 77,324.61 USDT
2026-02-02 02:08:45,150 [INFO] [SCRAPE] BTCUSDT price = 77,309.00 USDT
2026-02-02 02:08:50,766 [INFO] [SCRAPE] BTCUSDT price = 77,311.55 USDT
2026-02-02 02:08:56,402 [INFO] [SCRAPE] BTCUSDT price = 77,304.73 USDT
2026-02-02 02:09:02,101 [INFO] [SCRAPE] BTCUSDT price = 77,324.69 USDT
2026-02-02 02:09:07,920 [INFO] [SCRAPE] BTCUSDT price = 77,300.01 USDT
2026-02-02 02:09:13,475 [INFO] [SCRAPE] BTCUSDT price = 77,335.00 USDT
2026-02-02 02:09:19,078 [INFO] [SCRAPE] BTCUSDT price = 77,324.65 USDT
2026-02-02 02:09:24,726 [INFO] [SCRAPE] BTCUSDT price = 77,332.38 USDT
2026-02-02 02:09:30,292 [INFO] [SCRAPE] BTCUSDT price = 77,292.01 USDT
2026-02-02 02:09:35,851 [INFO] [SCRAPE] BTCUSDT price = 77,278.13 USDT
2026-02-02 02:09:41,440 [INFO] [SCRAPE] BTCUSDT price = 77,289.60 USDT
2026-02-02 02:09:47,119 [INFO] [SCRAPE] BTCUSDT price = 77,264.38 USDT
2026-02-02 02:09:52,704 [INFO] [SCRAPE] BTCUSDT price = 77,246.12 USDT
2026-02-02 02:09:58,228 [INFO] [SCRAPE] BTCUSDT price = 77,250.82 USDT
2026-02-02 02:10:04,153 [INFO] [SCRAPE] BTCUSDT price = 77,199.99 USDT
2026-02-02 02:10:09,815 [INFO] [SCRAPE] BTCUSDT price = 77,195.83 USDT
2026-02-02 02:10:15,202 [INFO] [SCRAPE] BTCUSDT price = 77,190.00 USDT
2026-02-02 02:10:20,779 [INFO] [SCRAPE] BTCUSDT price = 77,144.53 USDT
2026-02-02 02:10:26,173 [INFO] [SCRAPE] BTCUSDT price = 77,110.77 USDT
2026-02-02 02:10:31,564 [INFO] [SCRAPE] BTCUSDT price = 77,092.44 USDT
2026-02-02 02:10:36,960 [INFO] [SCRAPE] BTCUSDT price = 77,098.51 USDT
2026-02-02 02:10:42,352 [INFO] [SCRAPE] BTCUSDT price = 77,095.41 USDT
2026-02-02 02:10:47,747 [INFO] [SCRAPE] BTCUSDT price = 77,108.89 USDT
2026-02-02 02:10:53,145 [INFO] [SCRAPE] BTCUSDT price = 77,123.02 USDT
2026-02-02 02:10:58,572 [INFO] [SCRAPE] BTCUSDT price = 77,120.61 USDT
2026-02-02 02:11:03,971 [INFO] [SCRAPE] BTCUSDT price = 77,118.34 USDT
2026-02-02 02:11:09,373 [INFO] [SCRAPE] BTCUSDT price = 77,104.95 USDT
2026-02-02 02:11:14,764 [INFO] [SCRAPE] BTCUSDT price = 77,065.25 USDT
2026-02-02 02:11:20,170 [INFO] [SCRAPE] BTCUSDT price = 77,072.12 USDT
2026-02-02 02:11:25,564 [INFO] [SCRAPE] BTCUSDT price = 77,047.59 USDT
2026-02-02 02:11:30,966 [INFO] [SCRAPE] BTCUSDT price = 77,054.15 USDT
2026-02-02 02:11:36,360 [INFO] [SCRAPE] BTCUSDT price = 77,068.75 USDT
2026-02-02 02:11:41,749 [INFO] [SCRAPE] BTCUSDT price = 77,080.84 USDT
2026-02-02 02:11:47,240 [INFO] [SCRAPE] BTCUSDT price = 77,065.41 USDT
2026-02-02 02:11:52,904 [INFO] [SCRAPE] BTCUSDT price = 77,079.35 USDT
2026-02-02 02:11:58,380 [INFO] [SCRAPE] BTCUSDT price = 77,107.35 USDT
2026-02-02 02:12:03,975 [INFO] [SCRAPE] BTCUSDT price = 77,060.68 USDT
2026-02-02 02:12:09,780 [INFO] [SCRAPE] BTCUSDT price = 77,044.44 USDT
2026-02-02 02:12:15,415 [INFO] [SCRAPE] BTCUSDT price = 77,045.53 USDT
2026-02-02 02:12:20,965 [INFO] [SCRAPE] BTCUSDT price = 77,041.75 USDT
2026-02-02 02:12:26,546 [INFO] [SCRAPE] BTCUSDT price = 77,057.34 USDT
2026-02-02 02:12:32,125 [INFO] [SCRAPE] BTCUSDT price = 77,042.41 USDT
2026-02-02 02:12:37,696 [INFO] [SCRAPE] BTCUSDT price = 77,042.51 USDT
2026-02-02 02:12:43,300 [INFO] [SCRAPE] BTCUSDT price = 77,038.49 USDT
2026-02-02 02:12:48,915 [INFO] [SCRAPE] BTCUSDT price = 77,045.21 USDT
2026-02-02 02:12:54,494 [INFO] [SCRAPE] BTCUSDT price = 77,025.99 USDT
2026-02-02 02:13:00,043 [INFO] [SCRAPE] BTCUSDT price = 76,972.25 USDT
2026-02-02 02:13:05,438 [INFO] [SCRAPE] BTCUSDT price = 76,990.53 USDT
2026-02-02 02:13:10,828 [INFO] [SCRAPE] BTCUSDT price = 77,010.24 USDT
2026-02-02 02:13:16,303 [INFO] [SCRAPE] BTCUSDT price = 77,002.92 USDT
2026-02-02 02:13:21,690 [INFO] [SCRAPE] BTCUSDT price = 77,004.45 USDT
2026-02-02 02:13:27,088 [INFO] [SCRAPE] BTCUSDT price = 77,004.45 USDT
2026-02-02 02:13:32,486 [INFO] [SCRAPE] BTCUSDT price = 77,003.95 USDT
2026-02-02 02:13:38,710 [INFO] Logger initialized
2026-02-02 02:13:39,604 [INFO] [SCRAPE] BTCUSDT price = 77,003.54 USDT
2026-02-02 02:13:45,008 [INFO] [SCRAPE] BTCUSDT price = 77,000.01 USDT
2026-02-02 02:13:50,513 [INFO] [SCRAPE] BTCUSDT price = 77,037.17 USDT
2026-02-02 02:13:55,936 [INFO] [SCRAPE] BTCUSDT price = 77,057.99 USDT
2026-02-02 02:14:01,328 [INFO] [SCRAPE] BTCUSDT price = 77,109.93 USDT
2026-02-02 02:14:06,722 [INFO] [SCRAPE] BTCUSDT price = 77,128.47 USDT
2026-02-02 02:14:12,217 [INFO] [SCRAPE] BTCUSDT price = 77,164.01 USDT
2026-02-02 02:14:17,688 [INFO] [SCRAPE] BTCUSDT price = 77,166.99 USDT
2026-02-02 02:14:23,297 [INFO] [SCRAPE] BTCUSDT price = 77,119.00 USDT
2026-02-02 02:14:28,686 [INFO] [SCRAPE] BTCUSDT price = 77,127.80 USDT
2026-02-02 02:14:34,262 [INFO] [SCRAPE] BTCUSDT price = 77,126.65 USDT
2026-02-02 02:14:39,657 [INFO] [SCRAPE] BTCUSDT price = 77,160.03 USDT
2026-02-02 02:14:45,224 [INFO] [SCRAPE] BTCUSDT price = 77,182.94 USDT
2026-02-02 02:14:50,610 [INFO] [SCRAPE] BTCUSDT price = 77,178.86 USDT
2026-02-02 02:14:56,007 [INFO] [SCRAPE] BTCUSDT price = 77,196.00 USDT
2026-02-02 02:15:01,406 [INFO] [SCRAPE] BTCUSDT price = 77,171.88 USDT
2026-02-02 02:15:06,910 [INFO] [SCRAPE] BTCUSDT price = 77,260.48 USDT
2026-02-02 02:15:12,297 [INFO] [SCRAPE] BTCUSDT price = 77,308.79 USDT
2026-02-02 02:15:17,781 [INFO] [SCRAPE] BTCUSDT price = 77,366.00 USDT
2026-02-02 02:15:23,364 [INFO] [SCRAPE] BTCUSDT price = 77,473.99 USDT
2026-02-02 02:15:29,053 [INFO] [SCRAPE] BTCUSDT price = 77,500.00 USDT
2026-02-02 02:15:34,643 [INFO] [SCRAPE] BTCUSDT price = 77,448.00 USDT
2026-02-02 02:15:40,033 [INFO] [SCRAPE] BTCUSDT price = 77,426.00 USDT
2026-02-02 02:15:45,429 [INFO] [SCRAPE] BTCUSDT price = 77,412.32 USDT
2026-02-02 02:15:50,821 [INFO] [SCRAPE] BTCUSDT price = 77,421.66 USDT
2026-02-02 02:15:56,219 [INFO] [SCRAPE] BTCUSDT price = 77,400.01 USDT
2026-02-02 02:16:01,613 [INFO] [SCRAPE] BTCUSDT price = 77,409.84 USDT
2026-02-02 02:16:07,042 [INFO] [SCRAPE] BTCUSDT price = 77,449.97 USDT
2026-02-02 02:16:12,433 [INFO] [SCRAPE] BTCUSDT price = 77,441.43 USDT
2026-02-02 02:16:17,816 [INFO] [SCRAPE] BTCUSDT price = 77,466.08 USDT
2026-02-02 02:16:23,203 [INFO] [SCRAPE] BTCUSDT price = 77,456.20 USDT
2026-02-02 02:16:28,606 [INFO] [SCRAPE] BTCUSDT price = 77,439.61 USDT
2026-02-02 02:16:34,006 [INFO] [SCRAPE] BTCUSDT price = 77,418.01 USDT
2026-02-02 02:16:39,437 [INFO] [SCRAPE] BTCUSDT price = 77,395.20 USDT
2026-02-02 02:16:44,822 [INFO] [SCRAPE] BTCUSDT price = 77,363.32 USDT
2026-02-02 02:16:50,316 [INFO] [SCRAPE] BTCUSDT price = 77,344.06 USDT
2026-02-02 02:16:55,710 [INFO] [SCRAPE] BTCUSDT price = 77,315.93 USDT
2026-02-02 02:17:01,100 [INFO] [SCRAPE] BTCUSDT price = 77,307.03 USDT
2026-02-02 02:17:06,489 [INFO] [SCRAPE] BTCUSDT price = 77,305.15 USDT
